,time,activity,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather,call,circumplex.arousal,circumplex.valence,mood,screen,sms
136470,2014-02-17,,,,,,,,,,,,,,,,,,,1.0
136472,2014-02-18,,,,,,,,,,,,,,,,,,,1.0
136473,2014-02-19,,,,,,,,,,,,,,,,,,,
141711,2014-02-20,,,,,,,,,,,,,,,,,,,
141714,2014-02-21,,,,,,,,,,,,,,,,,,,
136482,2014-02-22,,,,,,,,,,,,,,,,,,,
136484,2014-02-25,,,,,,,,,,,,,,1.0,,,,,
0,2014-02-26,,,,,,,,,,,,,,,,,,,
4,2014-02-27,,,,,,,,,,,,,,,,,,,
136488,2014-02-28,,,,,,,,,,,,,,,,,,,1.0
141718,2014-03-01,,,,,,,,,,,,,,,,,,,
136492,2014-03-03,,,,,,,,,,,,,,,,,,,1.0
136493,2014-03-05,,,,,,,,,,,,,,,0.0,0.3333333333333333,6.333333333333333,,
136494,2014-03-06,,,,,,,,,,,,,,,-0.6,0.6,7.2,,1.0
136495,2014-03-07,,,,,,,,,,,,,,,0.6,1.2,7.4,,1.0
136500,2014-03-10,,,,,,,,,,,,,,,-1.0,0.6,6.8,,1.0
136501,2014-03-11,,,,,,,,,,,,,,,0.4,0.4,6.6,,1.0
136504,2014-03-12,,,,,,,,,,,,,,,0.6,1.0,7.0,,
136511,2014-03-13,,14.100999999999999,47.864666666666665,,,,,26.106875,33.49183333333334,,,13.062,,,0.0,0.6,6.6,55.06653335889176,1.0
136515,2014-03-14,,20.43906896551724,15.31076,,,,,8.4516,30.768107142857144,116.12227272727273,25.749571428571425,6.703,,,-0.2,1.2,7.4,71.8591915039306,1.0
141721,2014-03-15,,6.8456,16.617565217391306,38.795,,,17.086,11.954166666666666,36.3555,,,,,,-0.6,0.6,6.4,63.20063159340314,1.0
141722,2014-03-16,,29.845999999999997,103.14482352941177,,,,,7.034375,46.9405,,,11.119,,,-1.25,1.25,7.0,152.50643749535087,
141725,2014-03-17,0.00555555555555555,4.041714285714286,205.82199999999997,,,,,6.839499999999999,498.1381428571429,,,,,,0.0,0.2,5.4,50.667464290346395,
